title_english,Action,Girls Love,Boys Love,Adventure,Avant Garde,Erotica,Gourmet,Slice of Life,Mystery,Horror,Drama,Award Winning,Sci-Fi,Fantasy,Supernatural,Comedy,Sports,Hentai,Suspense,Ecchi,Romance
Outlanders,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
Moonlight Mile 1st Season: Lift Off,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Rocket Girls,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Paprika,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
Photon: The Idiot Adventures,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1
Tomorrow's Nadja,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Strange Steel Fairy Rouran,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mahou no Chocolate,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Neo Tokyo,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
Night Warriors: Darkstalkers' Revenge,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Code Geass: Lelouch of the Rebellion Picture Dramas,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Rayearth,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kimagure Robot,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Ikkitousen: Dragon Destiny,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Wedding Peach DX,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Wild 7,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Sore Ike! Anpanman,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Arashi no Yoru ni,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
The Daichis: Earth's Defense Family,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Sakura Taisen: Ecole de Paris,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sola,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Ankoku Shinwa,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
Mobile Suit Zeta Gundam: A New Translation - Heir to the Stars,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Mobile Suit Zeta Gundam: A New Translation II - Lovers,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Mobile Suit Zeta Gundam: A New Translation III - Love Is the Pulse of the Stars,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Sherlock Hound,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
X Densha de Ikou,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Glass Mask,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Invincible King Tri-Zenon,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hijikata Toshizou: Shiro no Kiseki,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Noiseman Sound Insect,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Tobira wo Akete (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Trava: Fist Planet,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Twilight Q,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Male,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Jack: The Two Doctors of Darkness,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Memory,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
UFO Robo Grendizer,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dangard Ace,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Himawari Too!!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
The Drop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mahou Gakuen Lunar! Aoi Ryuu no Himitsu,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Juusou Kikou Dancougar Nova,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hyper Speed GranDoll,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Hanoka Recap,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
.hack//Legend of the Twilight Offline Meeting Special,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Papillon Rose OVA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Full Moon wo Sagashite: Kawaii Kawaii Daibouken,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Amazing Nuts!,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
Sakura Taisen: Sumire,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Roujin Z,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
Gurren Lagann,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Heroic Age,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Tokyo Project,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Hanada Shounen-shi,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
Yu☆Gi☆Oh! (Movie),0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Dousou Kai Again,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Yawara! Sore Yuke Koshinuke Kids!!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
Yawara!: Zutto Kimi no Koto ga...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
You're Under Arrest: No Mercy!!,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
You're Under Arrest Mini Specials,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Hell Teacher Nube,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
You're Under Arrest The Movie,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
You're Under Arrest: Fast & Furious,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Wind: A Breath of Heart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mermaid Forest,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
Mermaid's Scar,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
Laughing Target,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
DNA Sights 999.9,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
One Piece: The Detective Memoirs of Chief Straw Hat Luffy,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Samurai XXX,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Fight!!,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Bakuen Campus Guardress,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Yoshimune,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Darker than Black,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Hayate the Combat Butler,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Wind: A Breath of Heart Specials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Zettai Muteki Raijin-Oh (1992),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Sea Prince and the Fire Child,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
El Cazador de la Bruja,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Shining Tears X Wind,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Wellber no Monogatari: Sisters of Wellber,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
Tamala 2010: A Punk Cat in Space,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Lovely Complex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Emma: A Victorian Romance Season Two,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Cosmic Baton Girl Comet-san☆,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Hime-chan no Ribbon,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Mahou no Star Magical Emi,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Persia the Magic Fairy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mahou no Angel Sweet Mint,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Super Pig,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
The Five Star Stories,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
Cat's Eye,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Magical Angel Creamy Mami,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
Mahou no Tenshi Creamy Mami: Eien no Once More,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Mahou no Tenshi Creamy Mami: Long Goodbye,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Mermaid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kikou Ryouhei Mellowlink,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kouryuu Densetsu Villgust,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Honoo no Tenkousei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Blue Sonnet,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Nozomi Witches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Capricorn,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Carol,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Coo: Tooi Umi kara Kita Coo,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Cosmo Police Justy,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Debutante Detective Corps,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Delpower X Bakuhatsu Miracle Genki!,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Mainichi ga Nichiyoubi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Gall Force 1: Eternal Story,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gall Force 2: Destruction,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gall Force 3: Stardust War,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rhea Gall Force,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gall Force: Earth Chapter,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gall Force: New Era,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gall Force: The Revolution,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gekiganger 3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Sousei Kishi Gaiarth,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Gude Crest: The Emblem of Gude,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Guy: Double Target,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Hana Yori Dango The Movie,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Idol Project,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
Hengen Taima Yakou Karura Mau! Sendai Kokeshi Enka,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kerokero Chime,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Kiko-chan Smile,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The File of Young Kindaichi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kindaichi Shounen no Jikenbo Movie 1: Operazakan - Aratanaru Satsujin,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Landlock,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Majuu Senshi Luna Varga,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Magical Girl Club Quartet: Alien X from A Zone,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Makeruna! Makendou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Marriage,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Natsuki Crisis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NG Knight Ramune & 40,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
NG Knight Ramune & 40 EX: Biku Biku Triangle Ai no Arashi Daisakusen,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
NG Knight Ramune & 40 DX: Wakuwaku Jikuu - Honoo no Daisousasen,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
VS Knight Lamune & 40 Fire,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Nora,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Super Dimension Century Orguss,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Choujikuu Seiki Orguss 02,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
The Fashion Boy is Cool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kiss wa Hitomi ni Shite,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Pops,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Relic Armor Legaciam,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Salamander,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sequence,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Special Duty Combat Unit Shinesman,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Shin Kimagure Orange☆Road: Soshite, Ano Natsu no Hajimari",0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1
Silent Möbius: The Motion Picture,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Silent Möbius 2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Singles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tattoon Master,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
TO-Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
My Bride is a Mermaid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Toka Gettan: The Moonlight Lady Returns,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
Kiss Dum: Engage Planet,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
One Piece: Episode of Alabasta - The Desert Princess and the Pirates,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MegaMan NT Warrior: Axess,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Rockman.EXE Stream,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rockman.EXE Beast,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rockman.EXE Movie: Hikari to Yami no Program,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Over Drive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Tenkuu Senki Shurato,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tenkuu Senki Shurato: Sousei e no Anto,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Captain Tsubasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Shin Captain Tsubasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Captain Tsubasa: Europe Daikessen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Captain Tsubasa: Ayaushi! Zen Nihon Jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Captain Tsubasa: Asu ni Mukatte Hashire!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Captain Tsubasa: Sekai Daikessen!! Jr. World Cup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Captain Tsubasa: Saikyou no Teki! Holland Youth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Digimon X-Evolution,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Code Geass: Lelouch of the Rebellion Recaps,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuu☆Yuu☆Hakusho: Eizou Hakusho - Ankoku Bujutsukai no Shou,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Yuu☆Yuu☆Hakusho: Eizou Hakusho II,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chouja Raideen,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Yuusha Raideen,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
True Tears,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Princess Resurrection,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
Bludgeoning Angel Dokuro-chan 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Inukami! The Movie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
Mari Iyagi,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Sex Warrior Pudding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Color of Sky, Color of Water",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Another Lady Innocent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Insatiable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Shadow,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kakyuusei 2: Anthology,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Aniyome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Oseam,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Blue Dragon,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Saiyuuki Reload: Burial,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Black Gate: Kanin no Gakuen,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Canary,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Call Me Tonight,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
No Money,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tanoshii Muumin Ikka,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Wonderful Adventures of Nils,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Oh! Edo Rocket,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
Saint Beast: Kouin Jojishi Tenshi Tan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tekkonkinkreet,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Kono Aozora ni Yakusoku wo: Youkoso Tsugumi Ryou e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakugan Battle Brawlers,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Koutetsushin Jeeg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Toward the Terra (TV),1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Big Windup!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Skull Man,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Koutetsu Sangokushi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIKa R-16: Virgin Mission,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Den-noh Coil,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
Gegege no Kitarou (2007),0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
Dojin Work,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Clannad,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Sakura Taisen: New York,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Ice,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sousei no Aquarion OVA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Detective Conan Movie 11: Jolly Roger in the Deep Azure,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Crayon Shin-chan Movie 15: Arashi wo Yobu Utau Ketsu dake Bakudan!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Mushiking: The King of Beetles SUPER BATTLE MOVIE -Altered Beetles of Darkness-,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Fist of the North Star: Raoh Side Story Fierce Fighting Arc,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kino no Tabi: The Beautiful World - Byouki no Kuni - For You,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Kiddy Grade: Ignition,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Highlander: The Search for Vengeance,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Tokimeki Memorial: Forever With You,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Slow Step,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
Robot Carnival,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Ayane's High Kick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Words Worth Gaiden,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Maid no Yakata: Zetsubou-hen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gold Throbber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Maid in Heaven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Inma Seiden: The Legend of the Beast of Lust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Tsubaki-iro no Prigione,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Behind Closed Doors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Saiunkoku Monogatari Recaps,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Sextra Credit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Naughty Nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fantastic Adventure Of Yohko: Leda,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Ah! My Goddess: Flights of Fancy Specials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
Ringing Bell,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Invincible Superman Zanbot 3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Pokémon Ranger and the Temple of the Sea,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Captain Harlock: Arcadia of my Youth,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Captain Harlock: Arcadia of my Youth - Endless Orbit SSX,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
