title_english,Action,Girls Love,Boys Love,Adventure,Avant Garde,Erotica,Gourmet,Slice of Life,Mystery,Horror,Drama,Award Winning,Sci-Fi,Fantasy,Supernatural,Comedy,Sports,Hentai,Suspense,Ecchi,Romance
Mobile Suit Gundam,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Mobile Suit Gundam: The 08th MS Team,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Mobile Suit Gundam 0080: War in the Pocket,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Mobile Suit Gundam: The 08th MS Team - Miller's Report,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Mobile Suit Gundam 0083: Stardust Memory,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Mobile Suit Zeta Gundam,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Mobile Suit Gundam ZZ,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Mobile Suit Gundam: Char's Counterattack,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Mobile Suit Gundam F91,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Mobile Suit Victory Gundam,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Mobile Suit Gundam Wing,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Mobile Suit Gundam Wing: Endless Waltz,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
After War Gundam X,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Mobile Suit Gundam SEED,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
Mobile Suit Gundam SEED Destiny,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
∀ Gundam,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
Mobile Fighter G Gundam,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Last Exile,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
My-Hime,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
My-Otome,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
Prétear: The New Legend of Snow White,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
Air,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Aishiteruze Baby★★,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Red Riding Hood Chacha,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
