title_english,score,scored_by
4 Week Lovers,6.74,410.0
4-Day Weekend,5.61,2057.0
4.Eyes,3.52,687.0
40-shuunen da yo!! CoroCoro All-Star Shougakkou,5.52,210.0
44-hiki no Neko,4.56,1200.0
47 Todoufuken,5.34,206.0
47 Todoufuken R,5.54,154.0
47 Todoufuken Specials,5.72,118.0
48x61,5.24,1217.0
4th anniversary monst? I know!,4.67,288.0
5 Centimeters per Second,7.56,566734.0
5-Okunen Button,6.11,139.0
6 Angels,4.31,1360.0
6 Lovers,5.53,4384.0
6 Songs,5.12,183.0
663114,5.2,2283.0
69 Pink Riders,4.46,536.0
69 Pink Riders 2,4.55,449.0
69: Itsuwari no Bishou,6.07,440.0
6HP (Six Hearts Princess),5.95,561.0
6♥Princess,5.48,2357.0
7 Seeds,6.56,67501.0
7 Seeds 2nd Season,7.05,37947.0
7-kakan.,5.6,524.0
77Danui Bimil,4.74,225.0
7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!,7.5,73439.0
8 Man,5.93,865.0
8 Man After,6.16,2295.0
8-shaku 8-wa Kerakumeguri: Igyou Kaikitan The Animation,6.32,5221.0
801 T.T.S. Airbats,6.48,3516.0
86 Eighty-Six,8.3,411017.0
86 Eighty-Six Part 2,8.71,291732.0
86 Eighty-Six: Special Edition - The Poppies Bloom Red on the Battlefield,6.91,26522.0
86 Part 2 Recaps,6.66,8606.0
9,4.76,335.0
91 Days,7.83,334348.0
91 Days: Brief Candle,6.54,17412.0
91 Days: Shoal of Time/All Our Yesterdays/Tomorrow and Tomorrow,6.9,29874.0
91 Daze,5.68,2294.0
99 Illusion!,5.55,268.0
?/Rhythmic Triangles/Fighting Cards,4.18,569.0
"A Bell, a Bird and Me",5.8,116.0
A Black Cat,5.47,236.0
A Branch of a Pine Is Tied Up,6.7,202.0
A Bridge to the Starry Skies,6.68,90468.0
A Centaur's Life,6.42,40082.0
A Certain Magical Index,7.34,390516.0
A Certain Magical Index II,7.52,252477.0
A Certain Magical Index II: Specials,6.88,16161.0
A Certain Magical Index III,6.82,102609.0
A Certain Magical Index III: Specials,6.47,3376.0
A Certain Magical Index the Movie: The Miracle of Endymion,7.41,69470.0
A Certain Magical Index: Specials,6.9,26223.0
A Certain Scientific Accelerator,7.21,100352.0
"A Certain Scientific Accelerator: Sally Forth, Mr. Accel! A Madcap Onslaught",6.52,3871.0
A Certain Scientific Railgun,7.66,290421.0
A Certain Scientific Railgun S,8.01,207374.0
A Certain Scientific Railgun S: All the Important Things I Learned in a Bathhouse,6.8,14909.0
A Certain Scientific Railgun T,8.16,94817.0
A Child's Metaphysics,5.54,686.0
A Chinese Ghost Story,6.37,1201.0
A Christmas Adventure,6.17,280.0
