title_english,score,scored_by
Free! The Movie -Timeless Medley- the Bond,7.6,15454.0
Free! The Movie -Timeless Medley- the Promise,7.65,13628.0
Free!: FrFr - Short Movie,7.62,34031.0
Freedom,7.37,8072.0
Freedom Previsited,6.38,1462.0
Freely Tomorrow,6.68,1750.0
Freezing,6.79,173542.0
Freezing Specials,6.56,24697.0
Freezing Vibration,6.71,88975.0
Freezing Vibration Specials,6.45,12130.0
Fresh Precure!,7.38,7209.0
Fresh Precure! Movie: Omocha no Kuni wa Himitsu ga Ippai!?,6.7,2553.0
Freshwater,4.93,218.0
Friends: Naki of Monster Island,6.86,572.0
Frieren: Beyond Journey's End,9.35,450749.0
Frieren: Beyond Journey's End Mini Anime,7.38,6229.0
Frisbee,6.26,115.0
Frogtoise,5.22,215.0
From A to Z,5.96,247.0
From Cherry Blossoms With Love,5.24,177.0
From Heart to Heart,4.79,253.0
From Osaka with Cheer!,5.05,139.0
From Tokyo,6.04,135.0
From Up on Poppy Hill,7.78,122693.0
From a Completed Future,5.96,115.0
From the New World,8.26,279322.0
Fruits 5 Shimai,5.38,125.0
Fruits Basket,7.69,284790.0
Fruits Basket 1st Season,8.21,402973.0
Fruits Basket 2nd Season,8.54,266942.0
Fruits Basket: Prelude,8.4,40056.0
Fruits Basket: The Final Season,8.97,241512.0
Fruits Cup,5.55,1480.0
Fruits Version,4.97,288.0
Fruity Samurai,5.49,251.0
Frypan Jiisan,5.42,129.0
Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita,5.71,1164.0
Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita 2nd Season,5.65,438.0
Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita 3rd Season,5.72,248.0
Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita 4th Season,5.84,154.0
Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita 5th Season,5.73,147.0
Fuichin-san,6.05,189.0
Fujiko Fujio A no Mumako,5.44,549.0
Fujilog,5.51,148.0
Fujimi 2-choume Koukyougakudan,5.45,3989.0
Fujinkoron-senpai,4.97,219.0
Fujoshi no Hinkaku,6.06,329.0
Fujun Isei Kouyuu: Taisetsu na Kimi e,5.37,408.0
Fukai ni Nemuru Oujo no Abaddon The Animation,5.67,842.0
Fukakouryoku,6.29,119.0
Fuki to Hiyoko,5.57,162.0
Fuku-chan no Sensuikan,4.78,397.0
Fukubiki! Triangle: Futaba wa Atafuta ♥,6.55,3466.0
Fukubiki! Triangle: Miharu After,7.0,6914.0
Fukuro,4.84,293.0
Fukusuke,5.33,438.0
Fukuyama Gekijou: Natsu no Himitsu,5.98,258.0
Full Dive: The Ultimate Next-Gen Full Dive RPG Is Even Shittier than Real Life!,6.47,117045.0
Full Metal Panic!,7.6,243346.0
Full Metal Panic! Invisible Victory,7.57,38903.0
Full Metal Panic! Invisible Victory Intermission,6.36,2090.0
Full Metal Panic! Movie 1: Boy Meets Girl,7.01,1665.0
Full Metal Panic! Movie 2: One Night Stand,7.0,1506.0
Full Metal Panic! Movie 3: Into the Blue,7.02,1477.0
Full Metal Panic! The Second Raid,7.92,149518.0
Full Metal Panic! The Second Raid Episode 00,7.37,17647.0
Full Metal Panic! The Second Raid: A Relatively Leisurely Day in the Life of a Fleet Captain,7.65,40948.0
Full Metal Panic? Fumoffu,8.02,176505.0
Full Moon Party,5.77,1035.0
Full Moon wo Sagashite: Kawaii Kawaii Daibouken,6.69,4564.0
Full-Time Magister,7.18,61451.0
Full-Time Magister 2nd Season,6.76,37990.0
Full-Time Magister 3rd Season,7.35,27841.0
Full-Time Magister 4th Season,7.32,18389.0
Full-Time Magister 5th Season,7.3,10492.0
Full-Time Magister 6th Season,7.08,3754.0
Fullmetal Alchemist,8.11,896080.0
Fullmetal Alchemist: Brotherhood,9.09,2137472.0
Fullmetal Alchemist: Brotherhood 4-koma Theater,7.46,27656.0
Fullmetal Alchemist: Brotherhood OVA Collection,8.0,76038.0
Fullmetal Alchemist: Premium OVA Collection,7.3,34798.0
Fullmetal Alchemist: Reflections,7.24,17264.0
Fullmetal Alchemist: The Movie - Conqueror of Shamballa,7.51,207298.0
Fullmetal Alchemist: The Sacred Star of Milos,7.26,98282.0
Fullmetal Alchemist: The Sacred Star of Milos PV,6.82,7137.0
Fumetsu no Anata e: Fushi no Tabiji,6.8,3721.0
Fumiko's Confession,6.6,17196.0
Fumoon,5.94,1007.0
Fune wo Amu Yokoku,5.49,343.0
Funiculì funiculà,5.2,122.0
Funny Faces in High School,7.27,1722.0
Funny Pets,4.99,585.0
Funny Pets 2nd Season,5.56,295.0
Fure! Fure! Daijoubu!,5.74,137.0
Furifure 2,6.52,1985.0
Furifure The Animation,6.18,2607.0
Furiten-kun,5.95,123.0
Furusato Meguri: Nippon no Mukashibanashi,6.09,241.0
Furusato no Nai Aki,5.41,125.0
Furyou ni Hamerarete Jusei Suru Kyonyuu Okaasan The Animation,6.14,3610.0
Fushigi Mahou Fun Fun Pharmacy,7.02,1148.0
Fushigi Sekai Atagoul Monogatari,4.97,230.0
Fushigi Yuugi Special: Watase Yuu Selection,7.01,983.0
Fushigi na Kusuri,5.31,347.0
Fushigi na Somera-chan,5.86,6757.0
Fushigi na Somera-chan: Hajimatteru yo! Sono Ato no Somera-chan!!,5.33,372.0
Fushigi na Taiko,5.36,205.0
Fushigiboshi no☆Futagohime,7.28,4859.0
Fushigiboshi no☆Futagohime Gyu! Recap,6.4,203.0
Fussa City Promotion Animation,5.42,122.0
Fusuma 2,4.79,195.0
Fusuma no Oku,5.31,234.0
Fusé: Memoirs of a Huntress,7.3,12670.0
Futa-bu!,7.13,15252.0
Futa-bu! Mix: Futanari World,6.7,7755.0
Futa-bu!!,7.21,10774.0
Futago no Ookami Daibouken,5.09,177.0
Futakoi Alternative,6.85,12207.0
Futari Daka,5.87,554.0
Futari wa 80-sai,5.19,154.0
Futari wa Milky Holmes,5.78,4554.0
Futari wa Precure: Max Heart,6.98,8811.0
Futari wa Precure: Max Heart Movie 1,6.77,3450.0
Futari wa Precure: Max Heart Movie 2 - Yukizora no Tomodachi,7.1,3246.0
Futari wa Precure: Splash☆Star,7.18,6103.0
Futari wa Precure: Splash☆Star Maji★Doki♥ Theater,6.24,807.0
Futari wa Precure: Splash☆Star Movie - Tick Tack Kiki Ippatsu!,6.71,2592.0
Futarigurashi,5.74,329.0
Futatsu no Kurumi,6.53,472.0
Futei with... The Animation,6.46,1272.0
Futon,5.03,559.0
Futon no Naka kara Detakunai,6.49,392.0
Futsal Boys!!!!!,5.46,10666.0
Futsuu no Joshikousei ga [Locodol] Yattemita. OVA,7.04,3737.0
"Futsuu no Joshikousei ga [Locodol] Yattemita.: Nagarekawa, Annai Shitemita.",6.88,5600.0
Futsuu tte Nandarou?,5.88,118.0
Future Boy Conan,8.08,17507.0
Future Boy Conan 2: River Adventure,6.4,596.0
Future Boy Conan Movie,6.96,947.0
Future Card Buddyfight,6.71,5443.0
Future Card Buddyfight Ace,6.37,1800.0
Future Card Buddyfight Battsu: All-Star Fight,6.76,1396.0
Future Card Buddyfight Hundred,6.7,3294.0
Future Card Buddyfight Recap,5.91,274.0
Future Card Buddyfight Triple D,6.55,2475.0
Future Card Buddyfight X,6.58,2414.0
Future Eve,6.08,139.0
Future Folktales,6.03,1088.0
Future GPX Cyber Formula,7.33,2808.0
Future GPX Cyber Formula 11,7.29,1535.0
Future GPX Cyber Formula Graffiti,6.19,199.0
Future GPX Cyber Formula Saga,7.36,1337.0
Future GPX Cyber Formula Sin,7.45,1321.0
Future GPX Cyber Formula Zero,7.41,1473.0
Future GPX Cyber Formula: Early Days Renewal,6.3,349.0
Future Island,6.3,560.0
Future Man,4.68,431.0
Future Police Urashiman,6.81,1038.0
Future Robo Daltanius,6.63,886.0
Future War Year 198X,6.01,1061.0
Fuuka,6.51,149876.0
Fuuma no Kojirou: Fuuma Hanran-hen,6.3,784.0
Fuuma no Kojirou: Seiken Sensou-hen,6.25,907.0
Fuuma no Kojirou: Yasha-hen,6.2,1145.0
Fuurinkanzan,5.68,1212.0
Fuuto PI,7.32,18347.0
Fuyu no Okurimono,6.54,405.0
Fuyu no Semi Special,6.87,1806.0
Fuzzy Lips 0,6.69,4553.0
Fuzzy Lips 1,6.72,7379.0
Fw:Hamatora,6.97,1625.0
G-9,5.7,1490.0
G-Best,5.17,1742.0
G-On Riders,5.77,1906.0
G-On Riders Special,5.58,382.0
G-Spot Express,6.61,3752.0
G-Taste,5.83,2722.0
G-senjou no Higeki,3.65,854.0
G.R.M.,5.98,128.0
G.T.R G-cup Teacher Rei,4.78,299.0
GA: Geijutsuka Art Design Class,7.12,7286.0
GA: Geijutsuka Art Design Class - Aozora ga Kakitai,7.06,2310.0
GAME OF DICE,5.79,137.0
GAME OVER feat. Hatsune Miku,5.87,1638.0
GARO -VANISHING LINE-,7.12,23941.0
GARO: THE ANIMATION,7.34,51794.0
GARO: THE ANIMATION - HOME,6.76,4264.0
GATE,7.68,458305.0
GATE Part 2,7.71,343556.0
GGO Football,6.46,1041.0
GJ Club,7.29,77337.0
GJ-bu@,7.22,19905.0
GLOOMY The Naughty Grizzly,5.26,3926.0
GO-GO Tamagotchi!,6.08,165.0
GOD EATER Reso Somehow Theatre,5.6,794.0
GR: Giant Robo,6.28,753.0
GUNDAM BUILD DIVERS Re:RISE,7.26,6880.5
GUNbare! Game Tengoku: The Game Paradise 2,5.77,128.0
GYO: Tokyo Fish Attack!,5.33,32129.0
Ga-Rei-Zero,7.57,96304.0
Gabriel DropOut,7.44,238536.0
Gabriel DropOut Specials,7.61,39948.0
Gabrielle,5.81,150.0
Gabuli,6.29,164.0
Gad Guard,6.64,5113.0
Gag Manga Biyori: Jump Festa 2002 Special,6.23,500.0
Gaikan Chiba,5.53,139.0
Gaiking: Legend of Daiku-Maryu,7.11,1814.0
Gaist Crusher,5.79,624.0
Gaki ni Modotte Yarinaoshi!!!,6.99,7612.0
Gakkatsu!,6.43,2815.0
Gakkatsu! 2nd Season,6.33,606.0
Gakkou no Kaidan (OVA),6.34,405.0
Gakkou no Yuurei,5.8,423.0
Gakuen 2,6.22,1553.0
Gakuen 3,6.45,1825.0
Gakuen Alice,7.64,52157.0
Gakuen Basara: Samurai High School,6.19,4422.0
Gakuen Handsome,6.73,22138.0
Gakuen Handsome Special,5.56,702.0
Gakuen Handsome The Animation,6.28,2136.0
Gakuen Handsome: Haitoku no Lesson,5.44,569.0
Gakuen Handsome: Legend of Sexy,5.91,758.0
Gakuen Heaven,6.45,32181.0
Gakuen Maria: Bakunyuu Teachers,5.15,649.0
Gakuen Saimin Reido,6.64,4921.0
Gakuen Shimai,6.57,1977.0
Gakuen Shinshoku: XX of the Dead,6.48,2269.0
Gakuen Utopia Manabi Straight!,7.26,11444.0
Gakuen Utopia Manabi Straight!: Natsu da! Manabi da! Kyouka Gasshuku da!,7.06,3549.0
Gakuen de Jikan yo Tomare,7.03,10414.0
Gakuen no Ikenie: Nagusami Mono to Kashita Kyonyuu Furyou Shoujo,5.78,2254.0
Gakuentoshi Varanoir Joukan,4.61,412.0
Gakumon!: Ookami Shoujo wa Kujikenai,6.38,740.0
Gakusen Toshi Asterisk Mini Drama,5.51,272.0
Gal & Dino,6.45,10259.0
Galactic Cyclone Braiger,6.7,909.0
Galactic Gale Baxingar,6.32,623.0
Galactic Gale Sasuraiger,6.44,596.0
Galactic Patrol Lensman,6.24,704.0
Galaxy Angel,7.01,12043.0
Galaxy Angel 4,7.18,3648.0
Galaxy Angel A,7.27,4665.0
Galaxy Angel AA,7.09,1555.0
Galaxy Angel Music Collection: Shouen to Shien no Cassoulet,6.9,1318.0
Galaxy Angel Rune,6.2,2029.0
Galaxy Angel S,6.84,984.0
Galaxy Angel Specials,6.8,1093.0
Galaxy Angel Z,7.14,5335.0
Galaxy Devastator,6.11,130.0
Galaxy Express 999,7.654999999999999,7938.0
Galaxy Express 999: Beyond the Diamond Ring,6.53,307.0
Galaxy Express 999: Can You Live Like A Warrior?,6.41,653.0
Galaxy Express 999: Can You Love Like a Mother?!!,6.45,813.0
Galaxy Express 999: Claire of the Glass,6.49,1091.0
Galaxy Express 999: Eternal Fantasy,6.53,2023.0
Galaxy Express 999: Eternal Traveller Emeraldas,6.67,944.0
Galaxy Express 999: Journey with Energy Beyond Space and Time,6.08,175.0
Galaxy Fraulein Yuna,6.0,2077.0
Galaxy Fraulein Yuna Returns,6.18,1598.0
Galaxy Investigation 2100: Border Planet,6.1,972.0
Galaxy Lightway,5.89,123.0
Galaxy Warring State Chronicle Rai,7.88,5545.0
Galerians: Rion,5.32,1463.0
Galilei Donna: Storia di tre sorelle a caccia di un mistero,6.41,24010.0
Gall Force 1: Eternal Story,6.37,2900.0
Gall Force 2: Destruction,6.32,1932.0
Gall Force 3: Stardust War,6.3,1769.0
Gall Force: Earth Chapter,6.13,1422.0
Gall Force: New Era,5.65,1278.0
Gall Force: The Revolution,5.88,940.0
Gallery Fake,7.4,3949.0
Galo Sengen,6.43,1162.0
Gamba to Kawauso no Bouken,6.13,147.0
Gambo,6.52,4225.0
Game Center Arashi,5.94,403.0
Game World Reincarnation,5.9,2099.0
Gamera VS Kozamera,6.22,355.0
Gamera: Rebirth,6.38,1421.0
Gamers!,6.74,376964.0
Ganbare Chibi Godzilla,5.09,247.0
Ganbare Douki-chan,6.52,47949.0
Ganbare Douki-chan: The Coworker is Suffering from Social Inequality,6.41,5475.0
Ganbare Genki,7.3,1060.0
Ganbare! Kakure Ase Project,5.86,430.0
Ganbare! Memeko-chan,5.08,170.0
Ganbare!! Tabuchi-kun!! Aa Tsuppari Jinsei,5.74,109.0
Ganbare!! Tabuchi-kun!! Gekitou Pennant Race,5.6,127.0
Ganbarist! Shun,7.17,1378.0
Gandalla: The King of Burning Desert,5.62,266.0
Gangsta.,7.41,282729.0
Gangsta. Recap,6.47,10641.0
Gankutsuou: The Count of Monte Cristo,8.12,75371.0
Ganso Banana no Tamashii,4.8,217.0
Ganso Tensai Bakabon,6.28,660.0
Gantz,6.98,181409.0
Gantz x Senran Kagura New Link,5.36,1386.0
Gantz: Second Stage,7.02,99219.0
Gantz:O,7.4,61489.0
GaoGaiGar Final,8.07,4733.0
Garaga,5.12,1065.0
Garakowa -Restore the World-,6.65,13054.0
Gararin to Gororin,5.2,207.0
Garden,6.45,5088.0
Garden Club Detective Squad PV,5.77,154.0
Garden: Takamine-ke no Nirinka - The Animation,7.6,3519.0
Gargantia on the Verdurous Planet,7.45,176767.0
Gargantia on the Verdurous Planet Specials,7.18,22323.0
Gargantia on the Verdurous Planet: Far Beyond the Voyage,7.34,19438.0
Gargoyle of Yoshinaga House,6.76,2112.0
Garo Movie: Divine Flame,7.54,8611.0
Garo: Crimson Moon,5.88,9371.0
Garo: Crimson Moon - The Butterfly of Time,6.2,1051.0
Garo: Guren no Tsuki - Yurugaro,5.58,261.0
Garo: Honoo no Kokuin - Yurugaro,5.5,358.0
Garo: The Fleeting Cherry Blossom,6.2,829.0
Garouden: The Way of the Lone Wolf,6.47,2867.0
Garugaku. II: Lucky Stars,5.87,168.0
Garugaku.: Sei Girls Square Gakuin,5.58,428.0
Garzey's Wing,4.1,6672.0
Gasaraki,6.63,6304.0
Gatapishi,6.06,132.0
Gatchaman,6.675,2760.5
Gatchaman Crowds,7.28,70493.0
Gatchaman Crowds Insight,7.23,28556.0
Gatchaman Crowds Insight: Inbound,6.97,12089.0
Gatchaman Crowds: Embrace,7.33,8202.0
Gate Keepers,6.91,9772.0
Gate Keepers 21,6.73,4903.0
Gattai Robot Atranger,5.39,203.0
Gauche the Cellist,6.87,5912.0
Gavora,5.46,233.0
Gaza: Changing the World,5.47,256.0
Gdleen,5.63,635.0
GeGeGe no Kitaro,7.22,11918.0
Gear Fighter Dendoh,7.14,1617.0
Geba Geba Show Time!,5.6,128.0
Gebäude Bäude,6.05,570.0
Gegege no Kitarou (1968),6.75,1626.0
Gegege no Kitarou (1971),6.57,1142.0
Gegege no Kitarou (1985),6.53,1155.0
Gegege no Kitarou (2007),6.92,2135.0
Gegege no Kitarou: Jigoku-hen,6.16,581.0
Gegege no Kitarou: Kitarou Tanjou-hen,5.87,138.0
Gegege no Kitarou: Kitarou's Ghost Train,5.74,215.0
Gegege no Kitarou: Youkai Japan Rally 3D,5.45,166.0
Gegege no Kitarou: Youkai Tokkyuu! Maboroshi no Kisha,5.99,306.0
Geisters: Fractions of the Earth,5.63,282.0
Geki Drive,4.87,164.0
Gekidol,5.52,5259.0
Gekiganger 3,6.44,2395.0
Gekijou Tanpen Macross Frontier: Toki no Meikyuu,7.04,932.0
Gekitou! Crush Gear Turbo,6.83,4097.0
Gekiyaba∞Bokkan!!,5.58,200.0
Gekka,5.8,166.0
Gekka Bijin,6.04,1225.0
Gekka Bijin (Music),6.28,161.0
Gekkou Shokudou,5.64,233.0
Genbanojou,6.3,184.0
Gender Equality 2,5.29,116.0
Gene,5.09,179.0
Gene Diver,6.27,445.0
Genei,6.1,246.0
Genei wo Kakeru Taiyou: Fumikomenai Kokoro,6.24,3495.0
General of the Swamp,4.8,354.0
Generation of Chaos,3.1,1493.0
Generation of Chaos III: Toki no Fuuin,3.56,720.0
Generation of Chaos Next: Chikai no Pendant,3.31,885.0
Generator Gawl,6.85,3849.0
Generic Riot!!,6.31,179.0
Geneshaft,6.29,5853.0
Genesis Climber Mospeada,7.03,3846.0
"Genesis Climber Mospeada: Love, Live, Alive",6.04,600.0
Genie Family 2020,5.96,262.0
Genius Party,7.13,13058.0
Genius Party Beyond,7.17,8306.0
Genji,5.62,515.0
Genji Monogatari,6.39,2899.0
Genji Tsuushin Agedama,6.44,705.0
Genjitsu no Rimuru: Sunshine in the Slime,5.84,1672.0
Genkaku Cool na Sensei ga Aheboteochi!,7.26,7167.0
Genki!! Ekoda-chan,5.71,181.0
Genki-kun no Christmas @ Tokyo-eki,4.78,226.0
Genki-kun no Oshougatsu @ Tokyo-eki,4.92,210.0
Genma Wars,4.91,1036.0
Genmukan: The Sin of Desire & Shame,6.33,2510.0
Genocidal Organ,7.12,13098.0
Genocyber,5.79,12339.0
Gensei Shugoshin P-hyoro Ikka,5.22,616.0
Genshiken,7.63,71922.0
Genshiken 2,7.74,45634.0
Genshiken 2: Menma Special,4.49,1786.0
Genshiken Nidaime OVA,7.15,8865.0
Genshiken Nidaime Specials,6.67,2803.0
Genshiken OVA,7.62,30183.0
Genshiken Second Season,7.42,23937.0
Genshin Impact: Genshin Concert PV,7.15,882.0
Genshin Impact: Lantern Rite PV - Dream Upon a Lantern,7.54,1644.0
Genshin Impact: Overture Teaser - The Final Feast,7.29,584.0
Genshin Impact: Story PV,6.89,580.0
Genshin Impact: Sumeru PV,6.81,491.0
Genshin Impact: Teyvat Chapter Interlude Teaser - A Winter Night's Lazzo,7.67,765.0
Genshin Impact: The Road Not Taken,7.89,1066.0
Genshin Impact: The Song Burning in the Embers,8.08,2236.0
"Gentle Whistle, Bird and Stone",4.24,428.0
Geobreeders: (File-X) Get Back The Kitty,6.27,1736.0
Geobreeders: Breakthrough,6.31,1202.0
Geori-eui Mubeopja,5.13,169.0
Gestalt,5.765,1343.5
Get Ride! AMDriver,6.18,701.0
Get Up! Get Live! #Geragera,5.47,144.0
Get a Life!,5.75,196.0
Getbackers,7.57,54272.0
Getsumen to Heiki Mina Specials,5.92,439.0
Getter Robo,6.69,2378.0
Getter Robo Arc,6.16,2311.0
Getter Robo G,6.48,1430.0
Getter Robo Go,6.12,911.0
Getter Robo: Armageddon,7.73,6661.0
Ghana,5.34,167.0
Ghastly Prince Enma Burning Up,6.46,6390.0
Ghibli ga Ippai Special Short Short,5.7,697.0
Ghiblies,6.35,2761.0
Ghost,5.44,460.0
Ghost (Music),7.72,1755.0
Ghost Hound,7.4,45666.0
Ghost Hunt,7.75,101541.0
Ghost Messenger,5.93,173.0
Ghost Messenger Movie,5.91,252.0
Ghost Slayers Ayashi,6.85,4642.0
Ghost Slayers Ayashi: Inferno,6.75,1035.0
Ghost Stories,7.74,92686.0
Ghost Stories Recaps,6.12,711.0
Ghost Stories: The Headless Horsemen!! Curse of Death,6.99,9697.0
Ghost Sweeper Mikami,7.22,5189.0
Ghost Sweeper Mikami Movie,6.6,1607.0
Ghost Tale,6.23,566.0
Ghost Talker's Daydream,6.09,4691.0
Ghost in the Shell,8.27,334472.0
Ghost in the Shell 2.0,7.97,39790.0
Ghost in the Shell 2: Innocence,7.78,88620.0
Ghost in the Shell: Arise - Alternative Architecture,7.22,15079.0
Ghost in the Shell: Arise - Border 1: Ghost Pain,7.43,30283.0
Ghost in the Shell: Arise - Border 2: Ghost Whispers,7.47,25357.0
Ghost in the Shell: Arise - Border 3: Ghost Tears,7.34,21235.0
Ghost in the Shell: Arise - Border 4: Ghost Stands Alone,7.43,18160.0
Ghost in the Shell: Ghost Chaser,6.27,324.0
Ghost in the Shell: SAC_2045,6.6,10759.0
Ghost in the Shell: SAC_2045 - Sustainable War,6.54,1387.0
Ghost in the Shell: SAC_2045 Season 2,6.84,4111.0
Ghost in the Shell: Stand Alone Complex,8.42,165511.0
Ghost in the Shell: Stand Alone Complex - Solid State Society,8.1,48065.0
Ghost in the Shell: Stand Alone Complex - Solid State Society 3D,7.72,4497.0
Ghost in the Shell: Stand Alone Complex - Solid State Society: Uchikomatic Days,6.87,4780.0
Ghost in the Shell: Stand Alone Complex - The Laughing Man,8.07,16026.0
Ghost in the Shell: Stand Alone Complex - The Laughing Man - Tachikomatic Days,6.67,1975.0
Ghost in the Shell: Stand Alone Complex 2nd GIG,8.52,104879.0
Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven,7.98,11248.0
Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven - Tachikomatic Days,6.74,1993.0
Ghost in the Shell: Stand Alone Complex 2nd GIG - Tachikomatic Days,7.14,9309.0
Ghost in the Shell: Stand Alone Complex: Solid State Society 3D: Tachikomatic Days,6.58,1355.0
Ghost in the Shell: Stand Alone Complex: Tachikomatic Days,7.15,8016.5
Ghost in the Shell: Stand Alone Complex: Tachikomatic Days Fan Disc,6.33,1461.0
Ghost in the Shell: The New Movie,7.43,17045.0
Giant Beasts of Ars,6.06,14003.0
Giant Gorg,7.13,1706.0
Giant Killing,7.53,35830.0
Giant Robo,5.78,333.0
Giant Robo the Animation: The Day the Earth Stood Still,7.78,8060.0
Giant Robo: Ginrei Special,5.97,1745.0
Gibiate,3.82,23952.0
Gif ni Ted,6.22,165.0
Gift,7.69,3076.0
Gift nor Art,5.39,388.0
Gift: Eternal Rainbow,6.56,14279.0
Gift: Eternal Rainbow - Ki no Saka Ryokan Kiki Ippatsu!!,6.67,3466.0
Gifuu Doudou!!: Kanetsugu to Keiji,6.42,2692.0
Gigant Big-Shot Tsukasa,5.46,165.0
Gigantor,6.34,1448.0
Gijinka de Manabo!,5.28,400.0
Gilgamesh,6.61,11811.0
Gin no Otoko,5.03,208.0
Gin no Yuri,5.83,280.0
Ginga,5.68,502.0
Ginga Densetsu Weed,7.22,8338.0
Ginga Hyouryuu Vifam,7.17,1278.0
Ginga Hyouryuu Vifam 13,6.37,179.0
Ginga Hyouryuu Vifam: Chicago Super Police 13,5.61,182.0
Ginga Hyouryuu Vifam: Keito no Kioku - Namida no Dakkai Sakusen,6.34,283.0
Ginga Hyouryuu Vifam: Kieta 12-nin,6.15,415.0
Ginga Tetsudou 999 (ONA),6.05,314.0
Ginga Tetsudou 999 for Planetarium,6.37,196.0
Ginga Tetsudou 999: Akai Hoshi Betelgeuze - Inochi no Kagayaki,6.17,140.0
Ginga Tetsudou 999: Hoshizora wa Time Machine,6.28,182.0
Ginga Tetsudou 999: Niji no Michishirube,6.08,183.0
Ginga Tetsudou 999: Shounen no Tabidachi to Wakare,5.78,172.0
Ginga Tetsudou no Yoru: Fantasy Railroad in the Stars,6.17,537.0
Ginga e Kickoff!! Natsuyasumi Special,6.06,582.0
Ginga no Uo Ursa Minor Blue,6.22,1668.0
Gingirl,4.81,294.0
Gingitsune: Messenger Fox of the Gods,7.15,24218.0
Giniro no Kami no Agito Pilot,5.96,248.0
Giniro no Olynsis: Tokito,6.19,3162.0
Ginsoukikou Ordian,5.62,1008.0
Gintama,8.93,399095.0
Gintama Season 2,9.03,239491.0
Gintama Season 4,9.06,253582.0
Gintama Season 5,8.98,147543.0
Gintama on Theater 2D: Baragaki-hen,6.94,202.0
Gintama x KFC,6.91,3519.0
Gintama x Mameshiba,6.71,5648.0
Gintama x Meta Quest 3 Collaboration CM,5.74,114.0
Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,8.12,18698.0
Gintama.: Silver Soul Arc,8.81,105747.0
Gintama.: Silver Soul Arc - Second Half War,8.88,97002.0
Gintama.: Slip Arc,8.52,103734.0
Gintama: Dai Hanseikai,8.07,16479.0
Gintama: Enchousen,9.02,166803.0
Gintama: Jump Festa 2005 Special,8.08,30336.0
Gintama: Jump Festa 2008 Special,8.35,34834.0
Gintama: Love Incense Arc,8.39,45853.0
Gintama: Monster Strike-hen,7.49,5291.0
Gintama: Shinyaku Benizakura-hen,8.28,19672.0
Gintama: The Final x Mameshiba,6.11,364.0
Gintama: The Movie,8.52,96176.0
Gintama: The Movie: The Final Chapter: Be Forever Yorozuya,8.9,136403.0
Gintama: The Semi-Final,8.46,40096.0
Gintama: The Very Final,9.04,73667.0
Gintama: Yorinuki Gintama-san on Theater 2D,8.43,17125.0
Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,8.1,16529.0
Ginyuu Mokushiroku Meine Liebe,6.42,4333.0
Ginyuu Mokushiroku Meine Liebe Wieder,6.62,2656.0
Giovanni's Island,7.66,11072.0
Girl Electric,6.06,373.0
Girl Friend Beta,5.91,13463.0
Girl Friend Note,6.0,776.0
Girl Loved by Aim,6.23,185.0
Girl Meets Girl,6.6899999999999995,16452.5
Girl Next Door,5.73,1149.0
Girl Who Leapt Through Space Picture Drama,6.26,829.0
Girl from Phantasia,5.3,1677.0
Girl in the Shell,5.64,2715.0
Girl's Education,6.49,4647.0
Girl's Locker Room Lust,4.25,714.0
"Girlfriend, Girlfriend",6.53,185430.0
"Girlfriend, Girlfriend Season 2",7.03,41406.0
Girlish Number,6.81,36690.0
Girls & Panzer Heartful Tank Disc Picture Drama,6.59,1427.0
Girls & Panzer Heartful Tank Disc: Fushou Akiyama Yukari no Sensha Kouza,6.82,1516.0
Girls & Panzer Movie: 3-pun Chotto de Wakaru!! Girls & Panzer,6.57,2225.0
Girls & Panzer Movie: Cinematic Concert - Fushou Akiyama Yukari no Sensha Kouza - Shoujun-hen,6.65,548.0
Girls & Panzer: Fushou Akiyama Yukari no Sensha Kouza,7.0,5447.0
Girls & Panzer: Fushou Akiyama Yukari no Sensha Kouza - Extra,6.62,894.0
Girls & Panzer: Kore ga Hontou no Anzio-sen desu! - Fushou Akiyama Yukari no Sensha Kouza,6.87,1449.0
Girls & Panzer: Nihon Senshadou Renmei News,6.75,1299.0
Girls & Panzer: Saishuushou Part 1 - Fushou Akiyama Yukari no Sensha Kouza,6.78,772.0
Girls & Panzer: Saishuushou Part 2 Specials,7.25,3488.0
Girls & Panzer: Saishuushou Part 3 Specials,7.2,2202.0
Girls & Panzer: Saishuushou Part 4 Specials,7.17,623.0
Girls & Panzer: Shoukai Shimasu!,6.68,10034.0
Girls Band Cry,8.47,19888.0
Girls Beyond the Wasteland,6.31,45024.0
Girls Bravo,6.37,73016.0
Girls Bravo: Second Season,6.6,49301.0
Girls Rush The Animation,7.03,3156.0
Girls und Panzer,7.52,151163.0
Girls und Panzer Compilation: The 63rd National High School Sensha-do Games,7.13,1324.0
Girls und Panzer OVA,7.22,21477.0
