title_english,Horror,Boys Love,Suspense,Adventure,Girls Love,Sci-Fi,Erotica,Hentai,Fantasy,Romance,Drama,Avant Garde,Award Winning,Sports,Action,Slice of Life,Comedy,Mystery,Ecchi,Gourmet,Supernatural,Cluster
Otaku no Seiza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Animation!,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,13
Defend Love,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,13
The Marshmallow Times,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9
Robby the Rascal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Hiroshima ni Ichiban Densha ga Hashitta,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11
Rin x Sen: Hakudaku Onna Kyoushi to Yaroudomo,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Chi's Sweet Home: Chi to Kocchi, Deau.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6
Shin Obake no Q-tarou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,6
Obake no Q-tarou (1985),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,6
The Laws of the Sun,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
Time Bokan Series: Gyakuten Ippatsuman,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Armored Trooper Votoms: Phantom Arc,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Letter Bee Academy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Toaru Kagaku no Railgun: Motto Marutto Railgun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Chi-Sui Maru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Super Street Fighter IV,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Nodame Cantabile: Finale - Mine to Kiyora no Saikai,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
King of Breasts,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Hermit Village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
Taishou Yakyuu Musume. Specials,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12
Shin Koihime†Musou: Otome Tairan,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,13
Mai-HiME: Kuro no Mai/Saigo no Bansan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Sekaiichi Hatsukoi OVA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Ashiaraiyashiki no Juunin-tachi.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2
"Musashi, the Samurai Lord",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Kuroshitsuji Picture Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
High School of the Dead,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,12
Kure-nai OVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Tamala 2010: A Punk Cat in Space OVA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14
The Story of Mr. Sorry,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,10
The Legend of the Legendary Heroes,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
Lupin III: The Last Job,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8
Fafner: Heaven and Earth,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Mardock Scramble: The First Compression,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HenSemi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
Ham Ham Grand Prix - The Miracle of Aurora Valley ~Ribon-chan's Close Call~,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8
Hamtaro: The Mysterious Ogre's Picture Book Tower,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8
Fukubiki! Triangle: Miharu After,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Last Waltz: Hakudaku Mamire no Natsu Gasshuku,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Welcome to THE SPACE SHOW,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13
Gotou ni Naritai.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,9
Cooking Papa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Princess Jellyfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Mighty Orbots,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8
Chou Deneiban SD Gundam Sangokuden Brave Battle Warriors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Precure All Stars Movie DX2: Kibou no Hikari☆Rainbow Jewel wo Mamore!,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
"Keroro Gunso the Super Movie: Creation! Ultimate Keroro, Wonder Space-Time Island!!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
The New Adventures of Hutch the Honeybee,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8
Konchuu Monogatari Minashigo Hutch (1989),0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8
Colorful: The Motion Picture,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,11
Sockies: Frontier Quest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Spooky Kitaro: Japan Explodes!!,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2
Spooky Kitaro: Giant Sea Monster,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2
Spooky Kitaro: The All Seeing Eye,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,13
Spooky Kitaro,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,13
Spooky Kitarou: Ghost War Struggle,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,13
Spooky Kitarou: The Strongest Ghost Army! Landing in Japan!!,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,13
Spooky Kitaro: Crash!! The Great Rebellion of the Multi-Dimensional Yōkai,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,13
Spooky Kitaro: The Obake Nighter,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,12
Gegege no Kitarou: Youkai Tokkyuu! Maboroshi no Kisha,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,13
Gegege no Kitarou: Jigoku-hen,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,13
Dream Dimension Gentleman,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5
One Piece: Romance Dawn Story - Recapping the TV Series So Far,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
Teinenpi Shoujo Heidi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Fujoshi no Hinkaku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9
Eagle Sam,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Loving Angel Angelique Chibi Adventure Special 2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8
Adachi-ga Hara,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adventure Boy Shadar,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Bouken Korobokkuru,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Fumiko's Confession,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
The World of Golden Eggs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Nodame Cantabile Finale OVA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Hoshi Shinichi Short Short,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Hoshi Shinichi Short Short Special,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Akuma-kun,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13
Guruguru Town Hanamaru-kun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Kawasaki Frontale x Tentai Senshi Sunred 2nd Season,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Sound of the Sky Specials,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9
Norabbits' Minutes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,10
Spellbound! Magical Princess Lilpri,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
Hell Teacher Nube,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8
Dance in the Vampire Bund: Special Edition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12
The Affectuous Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Tekkamen wo Oe: ""d'Artagnan Monogatari"" yori",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Genji Tsuushin Agedama,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Aa Harimanada,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12
Jewelpet Twinkle☆,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
The Elevator,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
Baby Felix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Akuma-kun (Movie),1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13
Akuma-kun: Youkoso Akuma Land e!!,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13
Hell Teacher Nube: 0 a.m. Nube Dead,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8
"On-chan, Dream Power Big Adventure!",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
True Tears Epilogue,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
Genji,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
Muumin,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,13
Muumin (1972),0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,13
Call of the wild,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
Kum Kum,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8
Rio - Rainbow Gate!: Reshuffle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
Keshikasu-kun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Metal Fight Beyblade vs. Taiyou: Shakunetsu no Shinryakusha Sol Blaze,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8
Naruto Shippuden the Movie 4: The Lost Tower,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
Bleach the Movie: Hell Verse,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
Armored Trooper Votoms: Case; Irvine,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11
Votoms Finder Armored Trooperoid,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Armored Trooper Votoms: Alone Again,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Damen's Walker,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Kanin Tokkyuu Michishio,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Samurai Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
Biohazard 4: Incubate,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,12
Ai no Senshi Rainbowman,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SD Gundam Sangokuden Brave Battle Warriors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Toumei Ningen R,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Inmu Gakuen: Inmu ni Torawareta Bijin Shimai,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Ojousama wa H ga Osuki: The Animation,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Seitokaichou Hikaru,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Gakuen Saimin Reido,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Shinshou Genmukan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Planzet,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ladies versus Butlers! Specials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12
Koutetsu Sangokushi Special,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Magic Kaito,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8
Tegami Bachi: Letter Bee Reverse,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13
Tentai Senshi Sunred: Short Corner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Kawasaki Frontale x Tentai Senshi Sunred,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Sayonara Zetsubou Sensei Jo: Zoku Zetsubou Shoujo Senshuu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Pelican Road Club Caroucha,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
Detective Conan Magic File 4: Osaka Okonomiyaki Odyssey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
Kudan,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5
A Child's Metaphysics,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5
Hanakappa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Shoka,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
Kachou no Koi,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Ukkari Pénélope,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,6
Ukkari Pénélope OVA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
Gurren Lagann: Parallel Works 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ketsuinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Himitsukessha Taka no Tsume The Movie 1: Soutou wa Nido Shinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Himitsukessha Taka no Tsume The Movie II: Watashi wo Aishita Kuro Oolong-Cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Himitsukessha Taka no Tsume The Movie 3: http://takanotsume.jp wa Eien ni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Crayon Shin-chan Movie 01: Action Kamen vs. Haigure Maou,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8
Crayon Shin-chan Movie 04: Henderland no Daibouken,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
Crayon Shin-chan Movie 06: Dengeki! Buta no Hizume Daisakusen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,6
Crayon Shin-chan Movie 07: Bakuhatsu! Onsen Wakuwaku Daikessen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,6
Crayon Shin-chan Movie 08: Arashi wo Yobu Jungle,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8
Crayon Shin-chan Movie 11: Arashi wo Yobu Eikou no Yakiniku Road,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8
Crayon Shin-chan Movie 12: Arashi wo Yobu! Yuuhi no Kasukabe Boys,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2
Crayon Shin-chan Movie 13: Densetsu wo Yobu Buriburi 3-pun Dai Shingeki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
Crayon Shin-chan Movie 14: Densetsu wo Yobu Odore! Amigo!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,6
Crayon Shin-chan Movie 16: Chou Arashi wo Yobu Kinpoko no Yuusha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,6
Crayon Shin-chan Movie 17: Otakebe! Kasukabe Yasei Oukoku,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Crayon Shin-chan Movie 18: Chou Jikuu! Arashi wo Yobu Ora no Hanayome,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8
Makoto-chan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
The New Adventures of Honeybee Maya,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8
Chogattai Majutsu Robot Ginguiser,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cyborg 009,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bonobono: Kumomo no Ki no Koto,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11
Heaven's Lost Property Forte,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,10
Durarara!! Specials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
Marie & Gali ver. 2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Beyblade: Metal Masters,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8
Bonobono,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Bonobono,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Vampire Knight: Gekiai no Portrait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Big Windup!,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
MM!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
Gosick,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,3
Wandering Son,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
Mahou no Star Magical Emi: Kumo Hikaru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6
Pokémon Ranger: Guardian Signs,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,13
Black Lagoon Omake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Maze☆Bakunetsu Jikuu: Tenpen Kyoui no Giant,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,13
Mahou no Star Magical Emi: Semishigure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SAI: Part 1 / Revolving... to the Core,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
Togainu no Chi,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Life of Guskou Budori,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11
Miyazawa Kenji Collection - The Acorns and the Wildcat,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11
Queen's Blade: Beautiful Warriors,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2
Yozakura Quartet: Hoshi no Umi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
The Future Diary OVA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12
Pants no Ana: Mambo de Ganbo!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
Ichiban Ushiro no Daimaou Specials,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,10
Naoko no Tropic Angel: Hyouryuu,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Asura,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11
Zakuro,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
Hetalia World Series,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"""Bungaku Shoujo"" Memoire",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
Kihei Senki Legacies,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
Legend of the Millennium Dragon,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,12
Digimon Adventure 3D: Digimon Grand Prix!,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,13
Digimon Savers 3D: Digital World Kiki Ippatsu!,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2
Gegege no Kitarou: Kitarou's Ghost Train,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
Mahoutsukai Haley no Speed Story,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
Kitty-Cat Fantasia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Haguregumo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Ikkitousen: Xtreme Xecutor Specials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
Broken Blade 2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
Baka & Test – Summon the Beasts 2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Mai-Otome Special: Otome no Inori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9
Biriken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Biriken Nandemo Shoukai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Midoriyama Koukou Koushien-hen (Movie),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Sukeban Shoukai Cutie Lemon,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
The Kabocha Wine: Nita no Aijou Monogatari,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
The World God Only Knows,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
Honey Tokyo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reborn! Here Comes a Vongola Family-Style School Trip!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Shadow of the Cherry Blossoms,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
Fortune Arterial: Akai Yakusoku,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
The Best!! Extremely Cool Student Council President Second Collection,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Toilet no Hanako-san,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Shin Ace wo Nerae!,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,3
"Dr. Slump: ""Hoyoyo!"" Space Adventure",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Dr. Slump and Arale-chan: Hoyoyo! City of Dreams, Mechapolis",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Dr. Slump and Arale-chan: Hoyoyo!! Follow the Rescued Shark...,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Doctor Slump: Arale's Surprise,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Dr. Slump: Dr. Mashirito and Abale-chan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Time Bokan Series: Time Patroltai Otasukeman,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8
Run Melos,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11
The Squid Girl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Today We Start Our Love,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
