title_english,Horror,Boys Love,Suspense,Adventure,Girls Love,Sci-Fi,Erotica,Hentai,Fantasy,Romance,Drama,Avant Garde,Award Winning,Sports,Action,Slice of Life,Comedy,Mystery,Ecchi,Gourmet,Supernatural,Cluster
Magical Girl Lyrical Nanoha,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,10
Magical Girl Lyrical Nanoha A's,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,10
Shuffle!,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,10
Mobile Suit Gundam,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Mobile Suit Gundam: The 08th MS Team,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Mobile Suit Gundam 0080: War in the Pocket,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Mobile Suit Gundam: The 08th MS Team - Miller's Report,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
Mobile Suit Gundam 0083: Stardust Memory,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Mobile Suit Zeta Gundam,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,3
Mobile Suit Gundam ZZ,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
Mobile Suit Gundam: Char's Counterattack,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Mobile Suit Gundam F91,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Mobile Suit Victory Gundam,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Mobile Suit Gundam Wing,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Mobile Suit Gundam Wing: Endless Waltz,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
After War Gundam X,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Mobile Suit Gundam SEED,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,3
Mobile Suit Gundam SEED Destiny,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,3
∀ Gundam,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
Mobile Fighter G Gundam,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,3
Last Exile,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
My-Hime,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
My-Otome,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,10
Prétear: The New Legend of Snow White,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3
Air,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3
Aishiteruze Baby★★,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3
Red Riding Hood Chacha,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,13
"Ceres, Celestial Legend",1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3
Boys Be...,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Hana Yori Dango,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
Jing: King of Bandits,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,13
